状态	问题	答案
启用	观书有感 半亩方塘一鉴开，天光云影共徘徊。问渠那得清如许，为有源头活水来。
启用	游园不值 应怜屐齿印苍苔，小叩柴扉久不开。春色满园关不住，一枝红杏出墙来。
启用	题临安邸 山外青山楼外楼，西湖歌舞几时休？暖风熏得游人醉，直把杭州作汴州。
启用	乡村四月 绿满山原白满川，子规声里雨如烟。乡村四月闲人少，才了蚕桑又插田。
启用	墨梅 吾家洗砚池头树，个个花开淡墨痕。不要人夸好颜色，只流清气满乾坤。
启用	石灰吟 千锤万凿出深山，烈火焚烧若等闲。粉骨碎身全不怕，要留清白在人间。
启用	竹石 咬定青山不放松，立根原在破岩中。千磨万击还坚劲，任尔东西南北风。
启用	所见 牧童骑黄牛，歌声振林樾。意欲捕鸣蝉，忽然闭口立。
启用	村居 草长莺飞二月天，拂堤杨柳醉春烟。儿童散学归来早，忙趁东风放纸鸢。
启用	己亥杂诗 九州生气恃风雷，万马齐喑究可哀。我劝天公重抖擞，不拘一格降人才。
启用	凉州词 请问是谁的凉州词，如果是王之涣的请说：“凉州词（王之涣）”
启用	凉州词（王之涣） 松下问童子，言师采药去。只在此山中，云深不知处。
启用	凉州词（王翰） 葡萄美酒夜光杯，欲饮琵琶马上催。醉卧沙场君莫笑，古来征战几人回？
启用	出塞 秦时明月汉时关，万里长征人未还。但使龙城飞将在，不教胡马度阴山。
启用  芙蓉楼送辛渐 寒雨连江夜入吴，平明送客楚山孤。洛阳亲友如相问，一片冰心在玉壶。
